"Title","Grade"
"JOURNALOFCONSUMERPSYCHOLOGY","A1"
"JOURNALOFTHEACADEMYOFMARKETINGSCIENCE","A1"
"INTERNATIONALJOURNALOFRESEARCHINMARKETING","A1"
"JOURNALOFINTERACTIVEMARKETING","A1"
"INDUSTRIALMARKETINGMANAGEMENT","A1"
"JOURNALOFINTERNATIONALMARKETING","A1"
"JOURNALOFADVERTISING","A1"
"PSYCHOLOGYANDMARKETING","A1"
"JOURNALOFSERVICERESEARCH","A1"
"INTERNATIONALMARKETINGREVIEW","A1"
"MISQUARTERLY","S"
"INFORMATIONSYSTEMSRESEARCH","S"
"JOURNALMANAGEMENTINFORMATIONSYSTEMS","S"
"IEEETRANSACTIONSONENGINEERINGMANAGEMENT","A1"
"INFORMATIONANDMANAGEMENT","A1"
"COMMUNICATIONSOFTHEACMRESEARCHARTICLEONLY","A1"
"DECISIONSUPPORTSYSTEM","A1"
"JOURNALOFAIS","A1"
"JOURNALOFTHEAMERICANSOCIETYFORINFORMATIONSCIENCEANDTECHNOLOGY","A1"
"INTERNATIONALJOURNALOFELECTRONICCOMMERCE","A1"
"EUROPEANJOURNALOFINFORMATIONSYSTEMS","A1"
"COMPUTERSINHUMANBEHAVIOR","A1"
"OMEGA","A1"
"JOURNALOFINFORMATIONTECHNOLOGY","A1"
"JOURNALOFSTRATEGICINFORMATIONSYSTEMS","A1"
"JOURNALOFOPERATIONSMANAGEMENT","S"
"MANAGEMENTSCIENCE","S"
"OPERATIONSRESEARCH","S"
"DECISIONSCIENCES","A1"
"SUPPLYCHAINMANAGEMENTANINTERNATIONALJOURNAL","A1"
"PRODUCTIONANDOPERATIONSMANAGEMENT","A1"
"INTERNATIONALJOURNALOFPRODUCTIONECONOMICS","A1"
"EUROPEANJOURNALOFOPERATIONALRESEARCH","A1"
"INTERNATIONALJOURNALOFOPERATIONSANDPRODUCTIONMANAGEMENT","A1"
"IIETRANSACTIONS","A1"
"INTERNATIONALJOURNALOFPRODUCTIONRESEARCH","A1"
"MANUFACTURINGANDSERVICEOPERATIONSMANAGEMENT","A1"
"NAVALRESEARCHLOGISTICS","A1"
"JOURNALOFINTERNATIONALBUSINESSSTUDIES","S"
"JOURNALOFWORLDBUSINESS","S"
"SUPPLYCHAINMANAGEMENTANINTERNATIONALJOURNAL","S"
"INTERNATIONALJOURNALOFMANAGEMENTREVIEWS","S"
"JOURNALOFINTERNATIONALMANAGEMENT","A1"
"JOURNALOFINTERNATIONALMARKETING","A1"
"JOURNALOFRISKANDUNCERTAINTY","A1"
"BRITISHJOURNALOFMANAGEMENT","A1"
"INTERNATIONALMARKETINGREVIEW","A1"
"INTERNATIONALBUSIENSSREVIEW","A1"
"MANAGEMENTINTERNATIONALREVIEW","A1"
"JOURNALOFRISKANDINSURANCE","A1"
"ASIANBUSINESSANDMANAGEMENT","A1"
"JOURNALOFWORLDTRADE","A1"
"EUROPEANJOURNALOFINTERNATIONALMANAGEMENT","A1"
"ASIAPACIFICJOURNALOFMANAGEMENT","A1"
